epoch,step,train_loss
0,9,3.4758834838867188
0,19,1.5728342533111572
0,29,1.7695152759552002
0,39,1.6036792993545532
0,49,1.6618067026138306
0,59,1.604742407798767
0,69,2.4833760261535645
0,79,3.4260146617889404
0,89,6.137757778167725
0,99,8.720004081726074
0,109,15.954333305358887
0,119,20.47628402709961
0,129,31.189407348632812
0,139,41.30447006225586
0,149,113.115966796875
0,159,143.3152313232422
0,169,255.29258728027344
0,179,481.1175842285156
0,189,645.9242553710938
0,199,1243.9051513671875
0,209,483.77276611328125
0,219,354.67462158203125
0,229,416.3663635253906
0,239,983.6173706054688
0,249,1304.7015380859375
0,259,904.421875
0,269,919.1039428710938
0,279,1438.5302734375
0,289,1631.8846435546875
0,299,2390.480224609375
0,309,2176.04345703125
0,309,2176.04345703125
